TransactionID,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,DeviceType,DeviceInfo,RelativeHour
3459432,33.261,C,visa,debit,gmail.com,gmail.com,desktop,Missing,2
3459433,52.811,C,visa,debit,hotmail.fr,hotmail.fr,mobile,F3311,2
3459434,136.956,C,visa,debit,hotmail.com,hotmail.com,desktop,Windows,2
3459435,136.956,C,visa,debit,hotmail.com,hotmail.com,desktop,Windows,2
3459436,25.0,H,visa,debit,outlook.com,Missing,desktop,Windows,2
3459437,23.362,C,visa,credit,hotmail.com,hotmail.com,desktop,Windows,3
3459438,326.29,W,visa,debit,Missing,Missing,Missing,Missing,3
3459439,34.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459440,50.0,W,visa,debit,aol.com,Missing,Missing,Missing,3
3459441,67.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459442,24.0,W,mastercard,credit,Missing,Missing,Missing,Missing,3
3459443,30.248,C,visa,debit,hotmail.com,hotmail.com,mobile,SM-G610M Build/MMB29K,3
3459444,20.0,W,mastercard,credit,Missing,Missing,Missing,Missing,3
3459445,305.0,W,visa,credit,msn.com,Missing,Missing,Missing,3
3459446,21.948,C,visa,credit,hotmail.com,hotmail.com,desktop,Windows,3
3459447,47.95,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459448,58.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459449,34.5,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459450,49.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459451,29.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459452,29.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459453,54.5,W,visa,credit,gmail.com,Missing,Missing,Missing,3
3459454,46.5,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459455,31.95,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459456,206.0,W,mastercard,debit,Missing,Missing,Missing,Missing,3
3459457,58.95,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459458,100.0,R,visa,credit,yahoo.com,yahoo.com,mobile,iOS Device,3
3459459,32.97,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459460,28.773,C,mastercard,credit,hotmail.com,hotmail.com,desktop,Missing,3
3459461,35.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459462,10.329,C,mastercard,debit,hotmail.com,hotmail.com,mobile,Missing,3
3459463,57.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459464,67.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459465,25.95,W,visa,debit,hotmail.com,Missing,Missing,Missing,3
3459466,117.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459467,34.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459468,49.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459469,191.0,W,visa,debit,hotmail.com,Missing,Missing,Missing,3
3459470,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459471,57.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,3
3459472,13.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459473,31.232,C,mastercard,credit,anonymous.com,anonymous.com,desktop,Trident/7.0,3
3459474,201.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459475,117.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459476,150.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459477,694.99,W,mastercard,credit,gmail.com,Missing,Missing,Missing,3
3459478,59.0,W,visa,debit,aol.com,Missing,Missing,Missing,3
3459479,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459480,59.0,W,visa,debit,Missing,Missing,Missing,Missing,3
3459481,23.055,C,visa,credit,gmail.com,gmail.com,desktop,Missing,3
3459482,47.0,W,mastercard,debit,hotmail.com,Missing,Missing,Missing,3
3459483,21.95,W,visa,credit,gmail.com,Missing,Missing,Missing,3
3459484,117.0,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459485,29.0,W,visa,debit,Missing,Missing,Missing,Missing,3
3459486,59.95,W,mastercard,debit,aol.com,Missing,Missing,Missing,3
3459487,48.95,W,visa,debit,aol.com,Missing,Missing,Missing,3
3459488,100.0,R,visa,credit,anonymous.com,yahoo.com,desktop,MacOS,3
3459489,73.0,W,mastercard,debit,aol.com,Missing,Missing,Missing,3
